Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,18/11/00,Gent,Mouscron,1,0,H,0,0,D,2.15,3.2,2.8,2.2,3,2.6,2.1,3.3,2.8,1.9,3.5,3.1
B1,18/11/00,Anderlecht,Louvieroise,2,0,H,1,0,H,1.15,6.8,10,1.1,7,14,1.14,6,11,1.15,6,10
B1,18/11/00,Beveren,Mechelen,1,1,D,1,0,H,1.66,3.4,4.4,1.55,3.3,4.5,1.6,3.5,4.5,1.7,3.4,3.9
B1,18/11/00,Genk,Lokeren,0,0,D,0,0,D,1.75,3.2,4.2,1.75,3.2,3.4,1.73,3.3,4,1.65,3.5,4
B1,18/11/00,Lierse,Standard,1,1,D,0,0,D,2.65,3.2,2.3,2.3,3,2.4,2.6,3.2,2.3,2.6,3.2,2.25
B1,18/11/00,Westerlo,Aalst,1,1,D,1,1,D,1.45,3.6,6,1.45,3.5,5,1.5,3.5,5.5,1.4,4,5.7
B1,19/11/00,Antwerp,Germinal,1,2,A,0,0,D,2.3,3.4,2.5,2.35,3,2.35,2.3,3.2,2.6,2.3,3,2.7
B1,19/11/00,Harelbeke,St Truiden,0,4,A,0,1,A,1.95,3.1,3.45,1.9,3,3.1,1.91,3.4,3.2,1.9,3.5,3.05
B1,24/11/00,Standard,Genk,2,1,H,0,0,D,1.4,4,5.8,,,,1.44,3.75,5.75,1.45,3.8,5.3
B1,25/11/00,Germinal,Anderlecht,0,1,A,0,0,D,3.9,3.4,1.7,3.3,3,1.85,3.5,3.4,1.8,3.35,3.5,1.8
B1,25/11/00,Mechelen,Charleroi,4,3,H,2,0,H,3,3.2,2.1,2.8,3,2.1,2.75,3.4,2.1,2.65,3.5,2.1
B1,25/11/00,Louvieroise,Lierse,0,2,A,0,1,A,3,3.2,2.1,2.9,2.9,2.1,2.75,3.4,2.1,2.65,3.4,2.15
B1,25/11/00,Lokeren,Gent,1,1,D,0,1,A,2.25,3.3,2.7,2.1,3,2.8,2.2,3.4,2.6,2.3,3.3,2.5
B1,25/11/00,Mouscron,Harelbeke,4,3,H,2,2,D,1.33,4.1,6.8,1.3,4,7,1.36,3.8,7,1.35,4.1,6.5
B1,25/11/00,St Truiden,Westerlo,1,2,A,1,1,D,2.4,3.2,2.6,2.35,3,2.35,2.38,3.4,2.38,2.4,3.4,2.35
